Laji	SCI	FI	SV	Luokka2015	Kriteerit	Elinymp-1	Elinymp-muut	Syyt	Uhat	Luokka2010	Muutossyy
Accipiter gentilis, kanahaukka, duvhök	Accipiter gentilis	kanahaukka	duvhök	NT		Mk		M, Mv	M, Mv	LC	1
Acrocephalus arundinaceus, rastaskerttunen, trastsångare	Acrocephalus arundinaceus	rastaskerttunen	trastsångare	VU	D1	Rin	Rjn	S	S	VU	
Aegolius funereus, helmipöllö, pärluggla	Aegolius funereus	helmipöllö	pärluggla	NT		Mk	Sk, Sr, Ml	Muu, MV, Ml	Muu, Mv, Ml	NT	
Alcedo atthis, kuningaskalastaja, kungfiskare	Alcedo atthis	kuningaskalastaja	kungfiskare	CR	D1	Vj	Vp	S	S, Vr, Muu	CR	
Anas acuta, jouhisorsa, stjärtand	Anas acuta	jouhisorsa	stjärtand	EN	A2abcd	Vs	Va, Vi	P, U	P, U	VU	1
Anas penelope, haapana, bläsand	Anas penelope	haapana	bläsand	VU	A2ab	Vs	Vi	P, N	P	LC	1
Anas querquedula, heinätavi, årta	Anas querquedula	heinätavi	årta	EN	A2abcd	Vsr	Vi	P, U	P, U	VU	1
Anser erythropus, kiljuhanhi, fjällgås	Anser erythropus	kiljuhanhi	fjällgås	CR	D1	Ts	Rj, Rin, S	P, U, H	U, H, P, Muu, S	CR	
Anser fabalis, metsähanhi, sädgås	Anser fabalis	metsähanhi	sädgås	VU	A2abc	Sr	M, Vsk, Iv	P, O, Vr	P, O, R, U	NT	2
Anthus cervinus, lapinkirvinen, rödstrupig piplärka	Anthus cervinus	lapinkirvinen	rödstrupig piplärka	VU	C1, A2a	Ts	Sn	U	U, I	VU	
Anthus pratensis, niittykirvinen, ängspiplärka	Anthus pratensis	niittykirvinen	ängspiplärka	NT		Sn	Tk, Ts, Iv,	U, Pm	U, Pm	NT	
Apus apus, tervapääsky, tornseglare	Apus apus	tervapääsky	tornseglare	VU	A2	Ir	Mkh, Mkv, Ml	?	?	LC	1
