FI	Genus	Species	Luokka2015	Luokka2010	Luokka2000	Yks2015	Min2015	Max2015	Avg2015	CHECKYKS
Kaakkuri	Gavia	stellata	LC	NT	NT	1500-3000	1500	3000	2250	
Kuikka	Gavia	arctica	LC	LC	LC	24000-26000	24000	26000	25000	
Pikku-uikku	Tachybaptus	ruficollis	EN	VU	NE	2-40	2	40	21	
Silkkiuikku	Podiceps	cristatus	NT	LC	LC	56000-74000	56000	74000	65000	
Härkälintu	Podiceps	grisegena	LC	LC	LC	12000-18800	12000	18800	15400	
Mustakurkku-uikku	Podiceps	auritus	EN	VU	LC	3000-6600	3000	6600	4800	
Merimetso	Phalacrocorax	carbo	LC	LC	NE	40000-48000	40000	48000	44000	
Kaulushaikara	Botaurus	stellaris	LC	LC	NT	2000-3000	2000	3000	2500	
Harmaahaikara	Ardea	cinerea	LC	LC	LC	1400-2000	1400	2000	1700	
Kyhmyjoutsen	Cygnus	olor	LC	LC	LC	22400-33800	22400	33800	28100	
Laulujoutsen	Cygnus	cygnus	LC	LC	LC	17000-22000	17000	22000	19500	
Metsähanhi	Anser	fabalis	VU	NT	NT	2000-5000	2000	5000	3500	
Kiljuhanhi	Anser	erythropus	CR	CR	CR	0-10	0	10	5	
Merihanhi	Anser	anser	LC	LC	LC	5600-9000	5600	9000	7300	
Kanadanhanhi	Branta	canadensis	NA	NA	NE	14000-16000	14000	16000	15000	
Valkoposkihanhi	Branta	leucopsis	LC	LC	NE	7600-10000	7600	10000	8800	
Ristisorsa	Tadorna	tadorna	VU	VU	NT	500-800	500	800	650	
Haapana	Anas	penelope	VU	LC	LC	100000-166000	100000	166000	133000	
Harmaasorsa	Anas	strepera	LC	LC	LC	1000-2000	1000	2000	1500	
Tavi	Anas	crecca	LC	LC	LC	300000-500000	300000	500000	400000	
Sinisorsa	Anas	platyrhynchos	LC	LC	LC	400000-440000	400000	440000	420000	
Jouhisorsa	Anas	acuta	EN	VU	LC	16000-32000	16000	32000	24000	
Heinätavi	Anas	querquedula	EN	VU	LC	2600-9800	2600	9800	6200	
Lapasorsa	Anas	clypeata	LC	LC	LC	22000-36000	22000	36000	29000	
Punasotka	Aythya	ferina	EN	VU	LC	20000-32000	20000	32000	26000	
Tukkasotka	Aythya	fuligula	EN	VU	LC	80000-120000	80000	120000	100000	
Lapasotka	Aythya	marila	EN	EN	VU	800-1200	800	1200	1000	
Haahka	Somateria	mollissima	VU	NT	LC	188000-265200	188000	265200	226600	
Alli	Clangula	hyemalis	NT	LC	LC	3000-4000	3000	4000	3500	
Mustalintu	Melanitta	nigra	LC	LC	NT	2000-4000	2000	4000	3000	
Pilkkasiipi	Melanitta	fusca	EN	NT	LC	7200-23600	7200	23600	15400	
Telkkä	Bucephala	clangula	LC	LC	LC	380000-500000	380000	500000	440000	
Uivelo	Mergellus	albellus	LC	LC	LC	4000-11000	4000	11000	7500	
Tukkakoskelo	Mergus	serrator	EN	NT	LC	50000-70000	50000	70000	60000	
Isokoskelo	Mergus	merganser	VU	NT	LC	40000-60000	40000	60000	50000	
Mehiläishaukka	Pernis	apivorus	EN	VU	NT	3100	3100		3100	
Haarahaukka	Milvus	migrans	CR	CR	EN	30-40	30	40	35	
Merikotka	Haliaeetus	albicilla	VU	VU	VU	958	958		958	
Ruskosuohaukka	Circus	aeruginosus	LC	LC	NT	2000	2000		2000	
Sinisuohaukka	Circus	cyaneus	VU	VU	NT	2900	2900		2900	
Arosuohaukka	Circus	macrourus	EN	NA		2-20	2	20	11	
Niittysuohaukka	Circus	pygargus	EN	EN	NE	2-18	2	18	10	
Kanahaukka	Accipiter	gentilis	NT	LC	LC	8600	8600		8600	
Varpushaukka	Accipiter	nisus	LC	LC	LC	11000	11000		11000	
Hiirihaukka	Buteo	buteo	VU	VU	LC	6100	6100		6100	
Piekana	Buteo	lagopus	EN	LC	LC	380	380		380	
Kiljukotka	Aquila	clanga	CR	CR	RE	0-2	0	2	1	
Maakotka	Aquila	chrysaetos	VU	VU	VU	700-700	700	700	700	
Sääksi	Pandion	haliaetus	LC	NT	NT	1300	1300		1300	300
Tuulihaukka	Falco	tinnunculus	LC	LC	NT	14000	14000		14000	0
Punajalkahaukka	Falco	vespertinus	NA	NA						
Ampuhaukka	Falco	columbarius	LC	LC	VU	6900	6900		6900	900
Nuolihaukka	Falco	subbuteo	LC	LC	LC	6000	6000		6000	0
Tunturihaukka	Falco	rusticolus	CR	EN	EN	64-64	64	64	64	
Muuttohaukka	Falco	peregrinus	VU	VU	EN	388-388	388	388	388	
Pyy	Bonasa	bonasia	LC	LC	LC	590000	590000		590000	0
Riekko	Lagopus	lagopus	VU	NT	LC	180000	180000		180000	0
Kiiruna	Lagopus	muta	NT	LC	LC	13000	13000		13000	0
Teeri	Tetrao	tetrix	LC	NT	NT	480000	480000		480000	0
Metso	Tetrao	urogallus	LC	NT	NT	540000	540000		540000	0
Peltopyy	Perdix	perdix	LC	LC	NT	18000-18000	18000	18000	18000	
Viiriäinen	Coturnix	coturnix	VU	EN	RE	300-1000	300	1000	650	
Fasaani	Phasianus	colchicus	NA	NA	NE	19000	19000		19000	0
Luhtakana	Rallus	aquaticus	LC	LC	LC	1000-1600	1000	1600	1300	
Luhtahuitti	Porzana	porzana	LC	NT	LC	1000-2600	1000	2600	1800	
Pikkuhuitti	Porzana	parva	EN	VU	NE	10-20	10	20	15	
Ruisrääkkä	Crex	crex	LC	LC	NT	14000-24000	14000	24000	19000	
Liejukana	Gallinula	chloropus	VU	VU	VU	100-400	100	400	250	
Nokikana	Fulica	atra	EN	LC	LC	7600-18200	7600	18200	12900	
Kurki	Grus	grus	LC	LC	LC	79000	79000		79000	0
Meriharakka	Haematopus	ostralegus	LC	LC	LC	6800-9800	6800	9800	8300	
Pikkutylli	Charadrius	dubius	NT	LC	LC	9100	9100		9100	
Tylli	Charadrius	hiaticula	NT	NT	LC	6000-12000	6000	12000	9000	
Keräkurmitsa	Charadrius	morinellus	VU	NT	NT	3000-6000	3000	6000	4500	
Kapustarinta	Pluvialis	apricaria	LC	LC	LC	210000	210000		210000	0
Töyhtöhyyppä	Vanellus	vanellus	LC	LC	LC	230000	230000		230000	0
Pikkusirri	Calidris	minuta	EN	NA	NE	0-10	0	10	5	
Lapinsirri	Calidris	temminckii	EN	VU	VU	2000-4000	2000	4000	3000	
Merisirri	Calidris	maritima	EN	VU	VU	10-60	10	60	35	
Suosirri	Calidris	alpina	NT	LC	LC	10000-20000	10000	20000	15000	
Suosirri	Calidris	alpina alpina	NT	LC	LC	10000-20000	10000	20000	15000	
Etelänsuosirri	Calidris	alpina schinzii	EN	CR	CR	110-120	110	120	115	
Jänkäsirriäinen	Limicola	falcinellus	NT	LC	NT	52000	52000		52000	0
Suokukko	Philomachus	pugnax	CR	EN	NT	25000	25000		25000	0
Jänkäkurppa	Lymnocryptes	minimus	LC	LC	LC	12000	12000		12000	0
Taivaanvuohi	Gallinago	gallinago	VU	LC	LC	250000	250000		250000	0
Heinäkurppa	Gallinago	media	CR	CR	RE					
Lehtokurppa	Scolopax	rusticola	LC	LC	LC	400000	400000		400000	0
Mustapyrstökuiri	Limosa	limosa	EN	EN	EN	220-260	220	260	240	
Punakuiri	Limosa	lapponica	LC	LC	NT	4000-6000	4000	6000	5000	
Pikkukuovi	Numenius	phaeopus	LC	LC	LC	74000	74000		74000	
Kuovi	Numenius	arquata	NT	LC	LC	160000	160000		160000	
Mustaviklo	Tringa	erythropus	NT	LC	LC	25000	25000		25000	
Punajalkaviklo	Tringa	totanus	VU	NT	LC	9000-12000	9000	12000	10500	
Lampiviklo	Tringa	stagnatilis	VU	NA		0-10	0	10	5	
Valkoviklo	Tringa	nebularia	LC	LC	LC	110000	110000		110000	
Metsäviklo	Tringa	ochropus	LC	LC	LC	340000	340000		340000	
Liro	Tringa	glareola	NT	LC	LC	770000	770000		770000	
Rantakurvi	Xenus	cinereus	CR	CR	CR	6-10	6	10	8	
Rantasipi	Actitis	hypoleucos	LC	NT	LC	220000-360000	220000	360000	290000	
Karikukko	Arenaria	interpres	EN	VU	LC	2800-4600	2800	4600	3700	
Vesipääsky	Phalaropus	lobatus	VU	VU	LC	14000-18000	14000	18000	16000	
Merikihu	Stercorarius	parasiticus	LC	LC	LC	1000-1200	1000	1200	1100	
Tunturikihu	Stercorarius	longicaudus	NT	LC	LC	200-10000	200	10000	5100	
Pikkulokki	Hydrocoloeus	minutus	LC	LC	LC	20000-26000	20000	26000	23000	
Naurulokki	Larus	ridibundus	VU	NT	VU	190000-200000	190000	200000	195000	
Kalalokki	Larus	canus	LC	LC	LC	140000-180000	140000	180000	160000	
Selkälokki	Larus	fuscus	EN	VU	VU	12000-16000	12000	16000	14000	
Harmaalokki	Larus	argentatus	LC	LC	LC	50000-70000	50000	70000	60000	
Merilokki	Larus	marinus	NT	LC	LC	3600-5400	3600	5400	4500	
Räyskä	Hydroprogne	caspia	LC	NT	VU	2200-2200	2200	2200	2200	
Kalatiira	Sterna	hirundo	LC	LC	LC	60000-140000	60000	140000	100000	
Lapintiira	Sterna	paradisaea	LC	LC	LC	120000-180000	120000	180000	150000	
Pikkutiira	Sternula	albifrons	EN	EN	EN	138-144	138	144	141	
Mustatiira	Chlidonias	niger	CR	EN	VU	30-50	30	50	40	
Etelänkiisla	Uria	aalge	EN	EN	VU	80-260	80	260	170	
Ruokki	Alca	torda	LC	LC	LC	15800-23400	15800	23400	19600	
Riskilä	Cepphus	grylle	EN	LC	NT	14000-22400	14000	22400	18200	
Kesykyyhky	Columba	livia	LC	LC	LC	40000	40000		40000	0
Uuttukyyhky	Columba	oenas	LC	LC	LC	11000	11000		11000	0
Sepelkyyhky	Columba	palumbus	LC	LC	LC	600000	600000		600000	0
Turkinkyyhky	Streptopelia	decaocto	EN	VU	VU	200-400	200	400	300	
Turturikyyhky	Streptopelia	turtur	CR	CR	VU	10-20	10	20	15	
Käki	Cuculus	canorus	LC	LC	NT	220000	220000		220000	0
Huuhkaja	Bubo	bubo	EN	NT	LC	1500	1500		1500	500
Tunturipöllö	Bubo	scandiacus	CR	CR	EN	0-20	0	20	10	
Hiiripöllö	Surnia	ulula	LC	LC	LC	600-9800	600	9800	5200	
