speciesNameSCI	imageName	imageSourceUrl	PhotographerName	photographerUrl	license
Parus cyanus	Azure Tit	http://www.flickr.com/photos/yeliseev/2431158895	Sergey Yeliseev	http://www.flickr.com/people/yeliseev/	http://creativecommons.org/licenses/by-nc-nd/2.0/
Porzana parva	11404 Klein Waterhoen / Little Crake	http://www.flickr.com/photos/28820410@N03/3319583629/in/set-72157614529940361/	Martien Brand	http://www.flickr.com/people/28820410@N03/	http://creativecommons.org/licenses/by/2.0/
Crex crex	Corn Crake	http://www.flickr.com/photos/13861029@N00/173326301/	Sergey Yeliseev	http://www.flickr.com/people/yeliseev/	http://creativecommons.org/licenses/by/2.0/
Philomachus pugnax	Ruff around the edges	http://www.flickr.com/photos/79102347@N00/337525982	Terence Voller	http://www.flickr.com/people/79102347@N00/	http://creativecommons.org/licenses/by/2.0/
Carduelis hornemanni	Tundraurpiainen		Aleksi Lehikoinen	https://tuhat.halvi.helsinki.fi/portal/en/persons/aleksi-lehikoinen(58cebd1b-88c1-44da-afa8-f8cc796f518a).html	http://creativecommons.org/licenses/by-nc-sa/3.0/
Caprimulgus europaeus	Lelek	http://commons.wikimedia.org/wiki/File:Lelek.jpg	Andrzej Łuczak	http://commons.wikimedia.org/wiki/File:Lelek.jpg	http://creativecommons.org/licenses/by/3.0/
Cinclus cinclus	Eurasian White-fronted Dipper, C cinclus	http://commons.wikimedia.org/wiki/File:Eurasian_White-fronted_Dipper,_C_cinclus.JPG	Andrew2606	http://en.wikipedia.org/wiki/User:Andrew2606	http://creativecommons.org/licenses/by/3.0/
Branta leucopsis	Branta leucopsis	http://www.flickr.com/photos/biomi/5353916497/	Mikko Heikkinen	http://www.biomi.org/	http://creativecommons.org/licenses/by-nc/2.0/
Phasianus colchicus	Phasianus colchicus	http://www.flickr.com/photos/biomi/5353916507/	Mikko Heikkinen	http://www.biomi.org/	http://creativecommons.org/licenses/by-nc/2.0/
Larus canus	Larus canus	http://www.flickr.com/photos/biomi/5353916501/	Mikko Heikkinen	http://www.biomi.org/	http://creativecommons.org/licenses/by-nc/2.0/
Turdus pilaris	Fieldfare - the Portrait	http://www.flickr.com/photos/hiljainenmies/3341132629/in/set-72157613273536716/	Mikko Karvonen	http://www.flickr.com/people/hiljainenmies/	http://creativecommons.org/licenses/by-nc/2.0/
Parus ater	Perky Coal Tit	http://www.flickr.com/photos/hiljainenmies/3404258764/in/set-72157613273536716/	Mikko Karvonen	http://www.flickr.com/people/hiljainenmies/	http://creativecommons.org/licenses/by-nc/2.0/
Parus caeruleus	Song of a Blue Tit	http://www.flickr.com/photos/hiljainenmies/3409200647/in/set-72157613273536716/	Mikko Karvonen	http://www.flickr.com/people/hiljainenmies/	http://creativecommons.org/licenses/by-nc/2.0/
Corvus monedula	Lintuotoksia 02-2009 - 3	http://www.flickr.com/photos/hiljainenmies/3297796184/in/set-72157613273536716/	Mikko Karvonen	http://www.flickr.com/people/hiljainenmies/	http://creativecommons.org/licenses/by-nc/2.0/
Corvus corone	Master Crow	http://www.flickr.com/photos/hiljainenmies/3409222611/in/set-72157613273536716/	Mikko Karvonen	http://www.flickr.com/people/hiljainenmies/	http://creativecommons.org/licenses/by-nc/2.0/
Anthus campestris	"Tawny Pipit; Anthus campestris (juvenile)"	http://www.flickr.com/photos/phenolog/3880200751/	Vitaliy Khustochka	http://www.flickr.com/people/phenolog/	http://creativecommons.org/licenses/by-nc/2.0/
